"’À∫≈","÷–º‰÷µ","date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"fuck","midvalue","20200917","13351217131","Refund","114-4695225-1728250","SZ-YSB-AA-21030-1","NENRENT S570 Bluetooth Earbud,Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for iPhone","1","amazon.com","Standard Orders","Amazon","HAYWARD","CA","94544-4919","MarketplaceFacilitator","-16.99","-1.66","0","0","0","0","0","0","1.66","2.04","0","0","0",14.95"
"fuck","midvalue","20200917","13351217131","Refund","113-8488519-0856228","SZ-YSB-AA-21407-1","Wireless Earbuds, NENRENT S570 TWS Bluetooth 5.0 Ture Wireless Earbuds HD Stereo Audio Sound, Wireless Bluetooth Headphones with Charging Case 18H Mus","1","amazon.com","Standard Orders","Amazon","CORAL SPRINGS","FL","33065-3779","","-29.99","0","0","0","0","0","0","0","0","3.60","0","0","0",26.39"
"fuck","midvalue","20200917","13351217131","Refund","114-0431427-2999418","SZ-YSB-AA-21033 -1","NENRENT S570 Bluetooth Earbud,Smallest Mini V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for iPhone Samsung G","1","amazon.com","Standard Orders","Amazon","MIAMI","FL","33193-3320","","-19.99","0","-1.28","0","0","0","1.28","0","0","2.40","0","0","4.00",13.59"
"fuck","midvalue","20200917","13351217131","Refund","113-4481136-6963410","SZ-YSB-AA-21891","Wireless Earbuds NENRENT S570+ 2020 Updated Bluetooth 5.0 Ture Wireless Earbuds HD Stereo Audio Sound Wireless Bluetooth Headphones with Charging Case","1","amazon.com","Standard Orders","Amazon","BROOKLYN","NY","11230-2706","MarketplaceFacilitator","-16.99","-1.51","0","0","0","0","0","0","1.51","2.04","0","0","0",14.95"
"fuck","midvalue","20200917","13351217131","Refund","113-3999427-2325041","SZ-YSB-AA-21075-1","NENRENT S570 Bluetooth Earbud,Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for iPhone","1","amazon.com","Standard Orders","Amazon","WENDELL","NC","27591-6304","MarketplaceFacilitator","-16.99","-1.15","0","0","0","0","0","0","1.15","2.04","0","0","0",14.95"
"fuck","midvalue","20200917","13351217131","Refund","111-5759274-8257027","SZ-YSB-AA-21075-1","NENRENT S570 Bluetooth Earbud,Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for iPhone","1","amazon.com","Standard Orders","Amazon","RESTON","VA","20194-1610","MarketplaceFacilitator","-10.99","-0.66","-0.02","0","0","0","0.02","0","0.66","1.32","0","0","0",9.67"
"fuck","midvalue","20200917","13351217131","Refund","111-2789639-1276211","SZ-YSB-AA-21030-1","NENRENT S570 Bluetooth Earbud,Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for iPhone","1","amazon.com","Standard Orders","Amazon","LAKE CITY","MN","55041-2242","MarketplaceFacilitator","-16.99","-1.25","0","0","0","0","0","0","1.25","2.04","0","0","0",14.95"
"fuck","midvalue","20200917","13351217131","Refund","112-9712458-4363402","SZ-YSB-AA-21075-1","NENRENT S570 Bluetooth Earbud,Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for iPhone","1","amazon.com","Standard Orders","Amazon","BROOKLYN","NY","11214-4018","MarketplaceFacilitator","-19.99","-1.77","0","0","0","0","0","0","1.77","2.40","0","0","0",17.59"
"fuck","midvalue","20200918","13351217131","Refund","111-9062222-7263440","SZ-YSB-AA-21407-1","Wireless Earbuds, NENRENT S570 TWS Bluetooth 5.0 Ture Wireless Earbuds HD Stereo Audio Sound, Wireless Bluetooth Headphones with Charging Case 18H Mus","1","amazon.com","Standard Orders","Amazon","CASTLE ROCK","CO","80104-2251","MarketplaceFacilitator","-34.99","-1.36","0","0","0","0","0","0","1.36","4.20","0","0","0",30.79"
"fuck","midvalue","20200918","13351217131","Refund","112-1739963-0857813","SZ-YSB-AA-21033 -1","NENRENT S570 Bluetooth Earbud,Smallest Mini V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for iPhone Samsung G","1","amazon.com","Standard Orders","Amazon","SCHENECTADY","NY","12305-1213","MarketplaceFacilitator","-16.99","-1.36","0","0","0","0","0","0","1.36","2.04","0","0","0",14.95"
